Breakdown,TTM,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Total Revenue,"73,357,000","85,965,000","70,697,000","55,838,000","40,653,000"
Cost of Revenue,"13,413,000","16,692,000","12,770,000","9,355,000","5,454,000"
Gross Profit,"59,944,000","69,273,000","57,927,000","46,483,000","35,199,000"
Operating Expenses,,,,,
Research Development,"14,755,000","18,447,000","13,600,000","10,273,000","7,754,000"
Selling General and Administrative,"18,627,000","18,155,000","20,341,000","11,297,000","7,242,000"
Total Operating Expenses,"33,382,000","36,602,000","33,941,000","21,570,000","14,996,000"
Operating Income or Loss,"26,562,000","32,671,000","23,986,000","24,913,000","20,203,000"
Interest Expense,-,-,"20,000","9,000","6,000"
Total Other Income/Expenses Net,"-305,000","-163,000","-78,000","-204,000","-1,000"
Income Before Tax,"27,191,000","33,180,000","24,812,000","25,361,000","20,594,000"
Income Tax Expense,"6,233,000","4,034,000","6,327,000","3,249,000","4,660,000"
Income from Continuing Operations,"20,958,000","29,146,000","18,485,000","22,112,000","15,934,000"
Net Income,"20,958,000","29,146,000","18,485,000","22,112,000","15,934,000"
Net Income available to common shareholders,"20,958,000","29,146,000","18,485,000","22,111,000","15,920,000"
Basic EPS,-,-,6.48,7.65,5.49
Diluted EPS,-,-,6,8,5
Basic Average Shares,-,-,"2,854,000","2,890,000","2,901,000"
Diluted Average Shares,-,-,"2,876,000","2,921,000","2,956,000"
 ,,,,,
