Quarter_Date,Facebook_Revenue_Millions_$US
2020-12-31,"$28,071"
2020-09-30,"$21,470"
2020-06-30,"$18,687"
2020-03-31,"$17,737"
2019-12-31,"$21,082"
2019-09-30,"$17,652"
2019-06-30,"$16,886"
2019-03-31,"$15,077"
2018-12-31,"$16,914"
2018-09-30,"$13,727"
2018-06-30,"$13,231"
2018-03-31,"$11,966"
2017-12-31,"$12,972"
2017-09-30,"$10,328"
2017-06-30,"$9,321"
2017-03-31,"$8,032"
2016-12-31,"$8,809"
2016-09-30,"$7,011"
2016-06-30,"$6,436"
2016-03-31,"$5,382"
2015-12-31,"$5,842"
2015-09-30,"$4,501"
2015-06-30,"$4,042"
2015-03-31,"$3,543"
2014-12-31,"$3,851"
2014-09-30,"$3,203"
2014-06-30,"$2,910"
2014-03-31,"$2,502"
2013-12-31,"$2,585"
2013-09-30,"$2,016"
2013-06-30,"$1,813"
2013-03-31,"$1,458"
2012-12-31,"$1,585"
2012-09-30,"$1,262"
2012-06-30,"$1,184"
2012-03-31,"$1,058"
2011-12-31,"$1,131"
2011-09-30,$954
2011-06-30,$895
2011-03-31,$731
2010-12-31,$731
2010-09-30,$467
2010-06-30,$431
2010-03-31,$345
2009-12-31,
2008-12-31,
