Office,Address,State,Country,Company,Latitude,Longitude
Mountain View,1600 Amphitheatre Pkwy,CA,United States,Google,37.421512,-122.084101
Ann Arbor,2300 Traverwood Dr,MI,United States,Google,42.3063848,-83.7140833
Atlanta,10 10th St NE,GA,United States,Google,33.781827,-84.387301
Austin,500 W 2nd St #2900,TX,United States,Google,30.266035,-97.749237
Boulder,2600 Pearl St,CO,United States,Google,40.021693,-105.260139
Boulder,2930 Pearl St,CO,United States,Google,40.021948,-105.253978
Boulder,"US-BLD-WALN3333, 3333 Walnut St",CO,United States,Google,40.01993,-105.24936
Cambridge,355 Main St,MA,United States,Google,42.362757,-71.087109
Chapel Hill,200 W Franklin St,NC,United States,Google,35.912445,-79.058488
Chicago,210 N Carpenter St,IL,United States,Google,41.88609,-87.65333
Chicago,320 N Morgan St #600,IL,United States,Google,41.8873457,-87.6526874
Detroit,52 Henry St 3rd Floor,MI,United States,Google,42.340458,-83.054494
Irvine,19510 Jamboree Road,CA,United States,Google,33.658792,-117.859322
Kirkland,777 6th Street South,WA,United States,Google,47.669568,-122.196912
Los Angeles,340 Main St,CA,United States,Google,33.995939,-118.4766773
Madison,"US-MSN-WASH811, 811 E Washington Ave #700",WI,United States,Google,43.081091,-89.374619
Miami,1450 Brickell Ave #900,FL,United States,Google,25.758473,-80.1932144
New York,111 8th Ave,NY,United States,Google,40.741445,-74.003102
Pittsburgh,6425 Penn Ave,PA,United States,Google,40.45716,-79.916596
Playa Vista,12422 Bluff Creek Dr,CA,United States,Google,33.97684,-118.407244
Portland,"Wells Fargo Building, 309 SW 6th Ave",OR,United States,Google,45.521622,-122.677458
Redwood City,"US-RWC-SEA6, 1600 Seaport Blvd",CA,United States,Google,37.512171,-122.201178
Reston,1875 Explorer St 10th Floor,VA,United States,Google,38.958309,-77.359795
San Bruno,901 Cherry Avenue,CA,United States,Google,37.62816,-122.426491
San Diego,"6420 Sequence Dr 
Suite 400",CA,United States,Google,32.90961,-117.181899
San Francisco,345 Spear St,CA,United States,Google,37.789972,-122.390013
Seattle,601 N. 34th Street,WA,United States,Google,47.649316,-122.350629
Sunnyvale,803 11th Avenue,CA,United States,Google,37.403694,-122.031583
Washington,"US-WAS-CAP, 25 Massachusetts Ave NW",DC,United States,Google,38.898337,-77.010286
Buenos Aires,"Alicia M. De Justo 350, 2nd Floor",,Argentina,Google,-34.602734,-58.366992
Melbourne,161 Collins St,,Australia,Google,-37.815328,144.968737
Sydney,48 Pirrama Rd,,Australia,Google,-33.866638,151.195672
Wien,Graben 19,,Austria,Google,48.209351,16.368419
Etterbeek,Steenweg op Etterb. 180,,Belgium,Google,50.839315,4.380984
Belo Horizonte,"Boulevard Corporate Tower, Av. dos Andradas, 3000 - Andares 14-17, Santa Efigênia",,Brazil,Google,-19.920225,-43.920845
S�o Paulo ,"Av. Brigadeiro Faria Lima, 3477",,Brazil,Google,-23.586479,-46.682078
Kitchener,51 Breithaupt Street,,Canada,Google,43.4541137,-80.4992423
Toronto,111 Richmond St W,,Canada,Google,43.650477,-79.383858
Las Condes,Santiago - Av Costanera Sur 2782,,Chile,Google,-33.413383,-70.605665
Beijing,"6th Floor, Tower B, Raycom InfoTech Park 
No. 2 Kexueyuan South Road 
Zhongguancun",,China,Google,39.9848878,116.3265708
Guangzhou Shi,"383 Tianhe Rd, Tian He Zhong Xin, Tianhe Qu",,China,Google,23.1339728,113.3332488
Shanghai,"100 Century Ave, Lu Jia Zui, Pudong Xinqu",,China,Google,31.23464,121.507662
Bogota,"Carrera 11A 94 - 45
Centro Empresarial Oxo Center",,Colombia,Google,4.678267,-74.046901
Praha,Stroupežnického 3191/17,,Czech Republic,Google,50.070259,14.402642
Aarhus,Aabogade 15 ,,Denmark,Google,56.172249,10.187372
Copenhagen ,Skt. Petri Passage 5,,Denmark,Google,55.680452,12.570071
Paris,8 Rue de Londres-15-15 Bis Rue de Clichy,,France,Google,48.8771,2.33
Berlin,Tucholskystraße 2,,Germany,Google,52.5231079,13.3920312
Hamburg,ABC-Straße 19,,Germany,Google,53.553752,9.986229
Munich ,Erika-Mann-Straße 33,,Germany,Google,48.14305556,11.54083333
Athens,Fragkokklisias 7,,Greece,Google,38.03902,23.804595
Hong Kong,"1 Matheson St, Causeway Bay",,Hong Kong,Google,22.278203,114.18176
Bengaluru,"No. 3, RMZ Infinity - Tower E
Old Madras Road
4th and 5th Floors",,India,Google,12.99332,77.660176
Gurugram,"Sector 15, Part II Village Silokhera",,India,Google,28.460581,77.048194
Hyderabad,"Survey No. 13, DivyaSree Omega
Kondapur Village",,India,Google,17.458461,78.372452
Mumbai,"3 North Avenue
Maker Maxity, Bandra Kurla Complex
Bandra East",,India,Google,19.054364,72.850591
Jakarta,"Pacific Century Place Tower Level 45 SCBD Lot 10, Jl. Jend. Sudirman No.53, RT.5/RW.3, Senayan, Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota",,Indonesia,Google,-6.227664,106.808471
Dublin 4,"Gordon House
Barrow St",,Ireland,Google,53.3399526,-6.2360967
Haifa,"Building 30 MATAM, Advanced Technology Centre",,Israel,Google,32.78897,34.958432
Tel Aviv-Yafo,Yigal Alon 98,,Israel,Google,32.070043,34.794087
Milano,"Porta Nuova Isola, Building C, Via Federico Confalonieri 4",,Italy,Google,45.486147,9.189546
