Quarter_Date,Google_Revenue(Millions$US)
2020-12-31,56898
2020-09-30,46173
2020-06-30,38297
2020-03-31,41159
2019-12-31,46075
2019-09-30,40499
2019-06-30,38944
2019-03-31,36339
2018-12-31,39276
2018-09-30,33740
2018-06-30,32657
2018-03-31,31146
2017-12-31,32323
2017-09-30,27772
2017-06-30,26010
2017-03-31,24750
2016-12-31,26064
2016-09-30,22451
2016-06-30,21500
2016-03-31,20257
2015-12-31,21329
2015-09-30,18675
2015-06-30,17727
2015-03-31,17258
2014-12-31,18103
2014-09-30,16523
2014-06-30,15955
2014-03-31,15420
2013-12-31,15707
2013-09-30,13754
2013-06-30,13107
2013-03-31,12951
2012-12-31,10283
2012-09-30,13304
2012-06-30,11807
2012-03-31,10645
2011-12-31,10584
2011-09-30,9720
2011-06-30,9026
2011-03-31,8575
2010-12-31,8440
2010-09-30,7286
2010-06-30,6820
2010-03-31,6775
2009-12-31,6674
2009-09-30,5945
2009-06-30,5523
2009-03-31,5509
2008-12-31,5701
2008-09-30,5541
2008-06-30,5367
2008-03-31,5186
2007-12-31,4827
2007-09-30,4231
2007-06-30,3872
2007-03-31,3664
2006-12-31,3206
2006-09-30,2690
2006-06-30,2456
2006-03-31,2254
2005-12-31,1919
2005-09-30,1578
2005-06-30,1384
2005-03-31,1257
