Quarter_Date,Microsoft_Revenue(Millions$US)
2020-12-31,43076
2020-09-30,37154
2020-06-30,38033
2020-03-31,35021
2019-12-31,36906
2019-09-30,33055
2019-06-30,33717
2019-03-31,30571
2018-12-31,32471
2018-09-30,29084
2018-06-30,30085
2018-03-31,26819
2017-12-31,28918
2017-09-30,24538
2017-06-30,25605
2017-03-31,23212
2016-12-31,25826
2016-09-30,21928
2016-06-30,26448
2016-03-31,20531
2015-12-31,23796
2015-09-30,20379
2015-06-30,22180
2015-03-31,21729
2014-12-31,26470
2014-09-30,23201
2014-06-30,23382
2014-03-31,20403
2013-12-31,24519
2013-09-30,18529
2013-06-30,19896
2013-03-31,20489
2012-12-31,21456
2012-09-30,16008
2012-06-30,18059
2012-03-31,17407
2011-12-31,20885
2011-09-30,17372
2011-06-30,17367
2011-03-31,16428
2010-12-31,19953
2010-09-30,16195
2010-06-30,16039
2010-03-31,14503
2009-12-31,19022
2009-09-30,12920
2009-06-30,13099
2009-03-31,13648
2008-12-31,16629
2008-09-30,15061
2008-06-30,15837
2008-03-31,14454
2007-12-31,16367
2007-09-30,13762
2007-06-30,13371
2007-03-31,14398
2006-12-31,12542
2006-09-30,10811
2006-06-30,11804
2006-03-31,10900
2005-12-31,11837
2005-09-30,9741
2005-06-30,10161
2005-03-31,9620
