Quarter_Date,Google_Revenue(Millions$US)
2020-12-31,"$56,898"
2020-09-30,"$46,173"
2020-06-30,"$38,297"
2020-03-31,"$41,159"
2019-12-31,"$46,075"
2019-09-30,"$40,499"
2019-06-30,"$38,944"
2019-03-31,"$36,339"
2018-12-31,"$39,276"
2018-09-30,"$33,740"
2018-06-30,"$32,657"
2018-03-31,"$31,146"
2017-12-31,"$32,323"
2017-09-30,"$27,772"
2017-06-30,"$26,010"
2017-03-31,"$24,750"
2016-12-31,"$26,064"
2016-09-30,"$22,451"
2016-06-30,"$21,500"
2016-03-31,"$20,257"
2015-12-31,"$21,329"
2015-09-30,"$18,675"
2015-06-30,"$17,727"
2015-03-31,"$17,258"
2014-12-31,"$18,103"
2014-09-30,"$16,523"
2014-06-30,"$15,955"
2014-03-31,"$15,420"
2013-12-31,"$15,707"
2013-09-30,"$13,754"
2013-06-30,"$13,107"
2013-03-31,"$12,951"
2012-12-31,"$10,283"
2012-09-30,"$13,304"
2012-06-30,"$11,807"
2012-03-31,"$10,645"
2011-12-31,"$10,584"
2011-09-30,"$9,720"
2011-06-30,"$9,026"
2011-03-31,"$8,575"
2010-12-31,"$8,440"
2010-09-30,"$7,286"
2010-06-30,"$6,820"
2010-03-31,"$6,775"
2009-12-31,"$6,674"
2009-09-30,"$5,945"
2009-06-30,"$5,523"
2009-03-31,"$5,509"
2008-12-31,"$5,701"
2008-09-30,"$5,541"
2008-06-30,"$5,367"
2008-03-31,"$5,186"
2007-12-31,"$4,827"
2007-09-30,"$4,231"
2007-06-30,"$3,872"
2007-03-31,"$3,664"
2006-12-31,"$3,206"
2006-09-30,"$2,690"
2006-06-30,"$2,456"
2006-03-31,"$2,254"
2005-12-31,"$1,919"
2005-09-30,"$1,578"
2005-06-30,"$1,384"
2005-03-31,"$1,257"
