Office,Address,State,Country,Company,Latitude,Longitude
Redmond,"Microsoft Corporation
One Microsoft Way",WA,United States,Microsoft,47.6530558,-122.1422946
Albany,54 State St 7th Floor Suite 701,NY,United States,Microsoft,42.64890151,-73.75214653
Alpharetta,8000 Avalon Blvd #800,GA,United States,Microsoft,34.07061174,-84.27429
Atlanta,84 Peachtree St,GA,United States,Microsoft,33.75605502,-84.38876931
Austin,10900 Stonelake Blvd #225,TX,United States,Microsoft,30.40149495,-97.73525755
Bellevue,700 Bellevue Way NE 22nd Floor,WA,United States,Microsoft,47.6172989,-122.2013203
Bentonville,2500 SE Technology Cir #4,AR,United States,Microsoft,36.36084828,-94.18281523
Bethesda,5404 Wisconsin Ave #700,MD,United States,Microsoft,38.96115519,-77.08646089
Birmingham,3535 Grandview Pkwy #335,AL,United States,Microsoft,33.43932504,-86.72246792
Bloomington,2203 E Empire St Suite J,IL,United States,Microsoft,40.48764558,-88.94479632
Blue Ash,4445 Lake Forest Dr #100,OH,United States,Microsoft,39.2533469,-84.38316754
Boise,401 W Front St #600,ID,United States,Microsoft,43.61153308,-116.2010775
Burlington,5 Wayside Rd,MA,United States,Microsoft,42.48465134,-71.19150219
Charlotte,"Microsoft ArrowPoint 1, 8055 Microsoft Way",NC,United States,Microsoft,35.13924513,-80.92263122
Chicago,200 E Randolph St #200,IL,United States,Microsoft,41.88549035,-87.62145856
Columbus,8800 Lyra Dr #400,OH,United States,Microsoft,40.14446181,-82.97282684
Denver,7595 Technology Way #400,CO,United States,Microsoft,39.63080974,-104.9028036
Des Moines,1408 Locust St #102,IA,United States,Microsoft,41.58444858,-93.63494979
Detroit,1 Campus Martius #380,MI,United States,Microsoft,42.33258623,-83.04672647
Downers Grove,3025 Highland Pkwy #200,IL,United States,Microsoft,41.8338436,-88.00566296
Edina,3601 W 76th St #600,MN,United States,Microsoft,44.86462619,-93.3259569
Elkridge,6518 Meadowridge Rd,MD,United States,Microsoft,39.19006639,-76.77759559
Fairport,375 Woodcliff Dr,NY,United States,Microsoft,43.04093024,-77.4587937
Fargo,3900 Great Plains Dr S,ND,United States,Microsoft,46.81220412,-96.8432289
Fort Lauderdale,6750 N Andrews Ave #400,FL,United States,Microsoft,26.20927205,-80.14058034
Glen Allen,4301 Dominion Blvd #200,VA,United States,Microsoft,37.65292795,-77.58414832
Grand Rapids,38 Fulton St W #311,MI,United States,Microsoft,42.9631843,-85.66948797
Hartford,"280 Trumbull, 280 Trumbull St 21st floor",CT,United States,Microsoft,41.7684742,-72.67447979
Houston,750 Town and Country Blvd,TX,United States,Microsoft,29.77834789,-95.56014774
Independence,6050 Oak Tree Blvd #300,OH,United States,Microsoft,41.3969966,-81.66269465
Indianapolis,8900 Keystone Crossing #950,IN,United States,Microsoft,39.91722798,-86.11124057
Irvine,3 Park Plaza #1600,CA,United States,Microsoft,33.67765842,-117.8386768
Irving,7000 State Hwy 161,TX,United States,Microsoft,32.89993735,-96.96339109
Lehi,3400 Ashton Blvd #300,UT,United States,Microsoft,40.43000685,-111.8943736
Los Angeles,13031 W Jefferson Blvd #200,CA,United States,Microsoft,33.97558574,-118.4261574
Louisville,9900 Corporate Campus Dr #3000,KY,United States,Microsoft,38.264636,-85.57471157
Malvern,45 Liberty Blvd #210,PA,United States,Microsoft,40.05625976,-75.52169143
Memphis,6465 N Quail Hollow Rd #200,TN,United States,Microsoft,35.10435202,-89.84787319
Miami,1010 NE 2nd Ave,FL,United States,Microsoft,25.78438804,-80.1912116
Milwaukee,833 E Michigan St #860,WI,United States,Microsoft,43.03734686,-87.90086999
Morrisville,3025 Carrington Mill Blvd #200,NC,United States,Microsoft,35.86499164,-78.8331191
Mountain View,1065 La Avenida St,CA,United States,Microsoft,37.41207252,-122.0709308
Nashville,"oneC1TY Nashville, 8 City Blvd #403",TN,United States,Microsoft,36.1524076,-86.82013593
New York,11 Times Square,NY,United States,Microsoft,40.75689213,-73.98963942
Omaha,2111 S 67th St #100,NE,United States,Microsoft,41.23984641,-96.01420016
Overland Park,10801 Mastin St #620,KS,United States,Microsoft,38.93298092,-94.70197393
Pittsburgh,1001 Liberty Ave,PA,United States,Microsoft,40.44455384,-79.99456647
Pittsburgh,910 River Ave,PA,United States,Microsoft,40.45346041,-79.99147756
Portland,1414 NW Northrup St #900,OR,United States,Microsoft,45.53151643,-122.6862193
Reston,12012 Sunset Hills Rd,VA,United States,Microsoft,38.95624708,-77.35772811
Sacramento,1415 L St #200,CA,United States,Microsoft,38.57703574,-121.4884648
San Antonio,401 E Sonterra Blvd,TX,United States,Microsoft,29.61697235,-98.48707696
San Diego,9255 Towne Centre Dr #400,CA,United States,Microsoft,32.87620376,-117.2069189
San Francisco,"555 California St #200, San Francisco",CA,United States,Microsoft,37.79227177,-122.4038958
Southfield,1000 Town Center #1930,MI,United States,Microsoft,42.47675064,-83.2435749
St. Louis,4220 Duncan Ave #501,MO,United States,Microsoft,38.6345708,-90.2503116
Sunnyvale,755 N Mathilda Ave,CA,United States,Microsoft,37.39431398,-122.0302163
Tampa,5426 Bay Center Dr #700,FL,United States,Microsoft,27.94416356,-82.53796815
Tempe,60 E Rio Salado Pkwy #1200,AZ,United States,Microsoft,33.43150995,-111.9393248
Tulsa,7633 E 63rd Pl #300,OK,United States,Microsoft,36.07280803,-95.8887254
Woodbridge Township,"101 Wood Metro Park LLC, 101 S Wood Ave, Iselin",NJ,United States,Microsoft,40.5629692,-74.32687813
